FechaObservacion,ValorObservado
2008-06-24 00:00:00,88.0
2008-06-25 00:00:00,83.0
2008-06-26 00:00:00,89.0
2008-06-27 00:00:00,82.0
2008-06-28 00:00:00,83.0
2008-06-29 00:00:00,89.0
2008-06-30 00:00:00,88.0
2008-07-01 00:00:00,87.0
2008-07-02 00:00:00,87.0
2008-07-03 00:00:00,87.0
2008-07-04 00:00:00,85.0
2008-07-05 00:00:00,88.0
2008-07-06 00:00:00,82.0
2008-07-07 00:00:00,82.0
2008-07-08 00:00:00,88.0
2008-07-09 00:00:00,85.0
2008-07-10 00:00:00,86.0
2008-07-11 00:00:00,87.0
2008-07-12 00:00:00,89.0
2008-07-13 00:00:00,87.0
2008-07-14 00:00:00,83.0
2008-07-15 00:00:00,87.0
2008-07-16 00:00:00,88.0
2008-07-17 00:00:00,93.0
2008-07-18 00:00:00,87.0
2008-07-19 00:00:00,87.0
2008-07-20 00:00:00,87.0
2008-07-21 01:00:00,81.0
2008-07-22 00:00:00,87.0
2008-07-23 00:00:00,85.0
2008-07-24 00:00:00,82.0
2008-07-25 00:00:00,87.0
2008-07-26 00:00:00,80.0
2008-07-27 09:00:00,79.0
2008-07-28 01:00:00,89.0
2008-07-29 01:00:00,87.0
2008-07-30 00:00:00,87.0
2008-07-31 00:00:00,86.0
2008-08-01 00:00:00,79.0
2008-08-02 00:00:00,87.0
2008-08-03 00:00:00,88.0
2008-08-04 00:00:00,87.0
2008-08-05 08:00:00,83.0
2008-08-06 00:00:00,86.0
2008-08-07 00:00:00,87.0
2008-08-08 00:00:00,81.0
2008-08-09 00:00:00,87.0
2008-08-10 00:00:00,87.0
2008-08-11 01:00:00,89.0
2008-08-12 00:00:00,87.0
2008-08-13 00:00:00,85.0
2008-08-14 00:00:00,82.0
2008-08-15 08:00:00,86.0
2008-08-16 00:00:00,86.0
2008-08-17 00:00:00,88.0
2008-08-18 00:00:00,82.0
2008-08-19 00:00:00,77.0
2008-08-20 00:00:00,91.0
2008-08-21 00:00:00,82.0
2008-08-22 00:00:00,82.0
2008-08-23 00:00:00,91.0
2008-08-24 00:00:00,87.0
2008-08-25 00:00:00,90.0
2008-08-26 00:00:00,85.0
2008-08-27 00:00:00,85.0
2008-08-28 08:00:00,87.0
2008-08-29 00:00:00,85.0
2008-08-30 00:00:00,85.0
2008-08-31 00:00:00,84.0
2008-09-01 00:00:00,83.0
2008-09-02 00:00:00,88.0
2008-09-03 00:00:00,86.0
2008-09-04 00:00:00,77.0
2008-09-05 00:00:00,79.0
2008-09-06 00:00:00,85.0
2008-09-07 00:00:00,85.0
2008-09-08 00:00:00,85.0
2008-09-09 00:00:00,83.0
2008-09-10 00:00:00,87.0
2008-09-11 00:00:00,87.0
2008-09-12 00:00:00,86.0
2008-09-13 00:00:00,87.0
2008-09-14 00:00:00,87.0
2008-09-15 00:00:00,84.0
2008-09-16 00:00:00,89.0
2008-09-17 00:00:00,80.0
2008-09-18 00:00:00,82.0
2008-09-19 00:00:00,83.0
2008-09-20 01:00:00,85.0
2008-09-21 00:00:00,88.0
