FechaObservacion;ValorObservado
3/10/2008 0:00;89.0
4/10/2008 0:00;91.0
5/10/2008 0:00;91.0
6/10/2008 0:00;90.0
7/10/2008 0:00;82.0
8/10/2008 0:00;93.0
9/10/2008 0:00;83.0
10/10/2008 0:00;84.0
11/10/2008 0:00;91.0
12/10/2008 0:00;83.0
13/10/2008 0:00;89.0
14/10/2008 0:00;86.0
15/10/2008 0:00;86.0
16/10/2008 0:00;84.0
17/10/2008 0:00;90.0
18/10/2008 0:00;82.0
19/10/2008 0:00;82.0
20/10/2008 0:00;93.0
21/10/2008 0:00;77.0
22/10/2008 0:00;89.0
23/10/2008 0:00;88.0
24/10/2008 0:00;82.0
25/10/2008 0:00;86.0
26/10/2008 0:00;83.0
27/10/2008 0:00;83.0
28/10/2008 0:00;84.0
29/10/2008 0:00;86.0
30/10/2008 0:00;86.0
31/10/2008 0:00;89.0
1/11/2008 0:00;89.0
2/11/2008 0:00;93.0
3/11/2008 0:00;91.0
4/11/2008 0:00;84.0
5/11/2008 0:00;90.0
6/11/2008 0:00;84.0
7/11/2008 0:00;85.0
8/11/2008 0:00;87.0
9/11/2008 0:00;85.0
10/11/2008 0:00;85.0
11/11/2008 0:00;84.0
12/11/2008 0:00;81.0
13/11/2008 0:00;83.0
14/11/2008 0:00;86.0
15/11/2008 0:00;82.0
16/11/2008 0:00;86.0
17/11/2008 0:00;84.0
18/11/2008 1:00;87.0
19/11/2008 0:00;81.0
20/11/2008 0:00;82.0
21/11/2008 0:00;85.0
22/11/2008 0:00;80.0
23/11/2008 0:00;82.0
24/11/2008 0:00;80.0
25/11/2008 0:00;87.0
26/11/2008 0:00;94.0
27/11/2008 0:00;89.0
28/11/2008 0:00;95.0
29/11/2008 0:00;75.0
30/11/2008 0:00;75.0
1/12/2008 0:00;77.0
2/12/2008 0:00;81.0
3/12/2008 0:00;82.0
4/12/2008 0:00;83.0
5/12/2008 0:00;76.0
6/12/2008 0:00;71.0
7/12/2008 0:00;73.0
8/12/2008 7:00;78.0
9/12/2008 6:00;80.0
10/12/2008 0:00;80.0
11/12/2008 0:00;76.0
12/12/2008 0:00;88.0
13/12/2008 0:00;79.0
14/12/2008 6:00;77.0
15/12/2008 0:00;76.0
16/12/2008 0:00;83.0
17/12/2008 0:00;81.0
18/12/2008 0:00;75.0
19/12/2008 0:00;77.0
20/12/2008 0:00;81.0
21/12/2008 0:00;82.0
22/12/2008 0:00;83.0
23/12/2008 0:00;85.0
24/12/2008 0:00;73.0
25/12/2008 0:00;80.0
26/12/2008 0:00;81.0
27/12/2008 0:00;77.0
28/12/2008 0:00;80.0
29/12/2008 0:00;74.0
30/12/2008 0:00;85.0
31/12/2008 0:00;89.0
1/01/2009 0:00;87.0
2/01/2009 0:00;86.0
3/01/2009 0:00;85.0
4/01/2009 0:00;91.0
5/01/2009 0:00;90.0
6/01/2009 0:00;88.0
7/01/2009 0:00;90.0
8/01/2009 0:00;88.0
9/01/2009 0:00;87.0
10/01/2009 0:00;83.0
11/01/2009 0:00;78.0
12/01/2009 0:00;79.0
13/01/2009 0:00;73.0
14/01/2009 0:00;81.0
15/01/2009 0:00;79.0
16/01/2009 0:00;70.0
17/01/2009 0:00;85.0
18/01/2009 0:00;87.0
19/01/2009 0:00;85.0
20/01/2009 0:00;88.0
21/01/2009 0:00;89.0
22/01/2009 0:00;89.0
23/01/2009 0:00;86.0
24/01/2009 0:00;87.0
25/01/2009 0:00;83.0
26/01/2009 0:00;88.0
27/01/2009 0:00;84.0
28/01/2009 0:00;82.0
29/01/2009 0:00;79.0
30/01/2009 0:00;84.0
31/01/2009 0:00;88.0
1/02/2009 0:00;86.0
2/02/2009 0:00;82.0
3/02/2009 0:00;76.0
4/02/2009 0:00;85.0
5/02/2009 0:00;86.0
6/02/2009 1:00;84.0
7/02/2009 0:00;80.0
8/02/2009 0:00;83.0
9/02/2009 0:00;85.0
10/02/2009 0:00;88.0
11/02/2009 0:00;83.0
12/02/2009 0:00;76.0
13/02/2009 0:00;81.0
14/02/2009 0:00;85.0
15/02/2009 0:00;72.0
16/02/2009 0:00;86.0
17/02/2009 0:00;82.0
18/02/2009 0:00;85.0
19/02/2009 0:00;78.0
20/02/2009 0:00;81.0
21/02/2009 0:00;83.0
22/02/2009 0:00;75.0
23/02/2009 0:00;73.0
24/02/2009 0:00;86.0
25/02/2009 0:00;87.0
26/02/2009 0:00;87.0
27/02/2009 0:00;86.0
28/02/2009 0:00;87.0
1/03/2009 0:00;87.0
2/03/2009 0:00;88.0
3/03/2009 0:00;88.0
4/03/2009 0:00;87.0
5/03/2009 0:00;85.0
6/03/2009 0:00;84.0
7/03/2009 0:00;83.0
8/03/2009 0:00;80.0
9/03/2009 0:00;74.0
10/03/2009 0:00;77.0
11/03/2009 0:00;82.0
12/03/2009 0:00;84.0
13/03/2009 0:00;86.0
14/03/2009 0:00;87.0
